key	composer	category	title	catalog	year
Saint-Saëns1886a	Camille Saint-Saëns	Cello and Piano	The Carnival of the Animals: 13. The Swan		1886
Scarlatti1750a	Domenico Scarlatti	Solo Piano	Keyboard Sonata in G major	K. 79	?
Scarlatti1750b	Domenico Scarlatti	Solo Piano	Keyboard Sonata in D major	K. 118	?
Scarlatti1750c	Domenico Scarlatti	Solo Piano	Keyboard Sonata in F major	K. 445	?
Schnittke1972a	Alfred Schnittke	Violin and Piano	Suite in the Olden Style		1972
Schoenberg1909a	Arnold Schoenberg	Solo Piano	Drei Klavierstücke	Op. 11	1909
Schoenberg1913a	Arnold Schoenberg	Solo Piano	Sechs kleine Klavierstücke	Op. 19	1913
Schoenfeld1990a	Paul Schoenfeld	Violin and Piano	Four Souvenirs		1990
Schubert1814a	Franz Schubert	Voice and Piano	“Gretchen am Spinnrade”	D. 118	1814
Schubert1817a	Franz Schubert	Voice and Piano	“An die Musik”	D. 547	1817
Schubert1817b	Franz Schubert	Violin and Piano	Violin Sonata in A major	D. 574	1817
Schubert1819a	Franz Schubert	Voice and Piano	“Nachstuck”	D. 672	1819
Schubert1823a	Franz Schubert	Solo Piano	Six Moments Musicaux	D. 780	1823
Schubert1824a	Franz Schubert	Cello and Piano	Arpeggione Sonata in A minor	D. 821	1824
Schubert1826a	Franz Schubert	Violin and Piano	Rondo in B minor	D. 895	1826
Schubert1827a	Franz Schubert	Piano Trio	Piano Trio No. 1 in B-flat major	D. 898	1827
Schubert1827b	Franz Schubert	Solo Piano	Four Impromptus	D. 899	1827
Schubert1827c	Franz Schubert	Piano Trio	Piano Trio No. 2 in E-flat major	D. 929	1827
Schubert1827d	Franz Schubert	Violin and Piano	Fantasie in C major	D. 934	1827
Schubert1828b	Franz Schubert	Piano Four-Hands	Fantasie in F minor	D. 940	1828
Schubert1828c	Franz Schubert	Solo Piano	Drei Klavierstücke	D. 946	1828
Schubert1828d	Franz Schubert	Piano Four-Hands	Lebensstürme in A minor	D. 947	1828
Schubert1828e	Franz Schubert	Piano Four-Hands	Rondo in A major	D. 951	1828
Schubert1828g	Franz Schubert	Solo Piano	Piano Sonata in C minor	D. 958	1828
Schubert1828h	Franz Schubert	Solo Piano	Piano Sonata in A major	D. 959	1828
Schumann∙Liszt1848a	Schumann∙Liszt	Solo Piano	“Liebeslied (Widmung)” (arr. F. Liszt)	Op. 25:1/S. 566	1848
Schumann1830a	Robert Schumann	Solo Piano	Piano Sonata No. 2 in G minor	Op. 22	1830
Schumann1831a	Robert Schumann	Solo Piano	Papillons	Op. 2	1831
Schumann1836a	Robert Schumann	Solo Piano	Fantasie in C major	Op. 17	1836
Schumann1837a	Robert Schumann	Solo Piano	Davidsbündlertänze	Op. 6	1837
Schumann1838a	Robert Schumann	Solo Piano	Kreisleriana	Op. 16	1838
Schumann1838b	Robert Schumann	Solo Piano	Kinderszenen “Scenes from Childhood”	Op. 15	1838
Schumann1839a	Robert Schumann	Solo Piano	Carnival Scenes from Vienna	Op. 26	1839
